date,team,opponent,odds,grade,ev,units,result,profit
2025-11-21,WPG,CAR,130,A+,9.3%,0.017810002290806974,LOSS,-1.00u
2025-11-10,CBJ,EDM,148,B+,6.3%,N/A,LOSS,-1.00u
2025-12-01,CBJ,NJD,130,A,4.2%,0.008166257290055807,WIN,1.30u
2025-11-10,SEA,CBJ,-120,A+,13.0%,N/A,LOSS,-1.00u
2025-11-20,CBJ,TOR,120,A+,8.3%,0.017277156001540374,WIN,1.20u
2025-11-19,TOR,CBJ,-104,A+,9.4%,0.024445344299787213,LOSS,-1.00u
2025-11-18,CBJ,WPG,155,A+,7.1%,0.011459430223213014,LOSS,-1.00u
2025-11-19,CGY,BUF,134,A+,5.2%,0.00978057640134795,WIN,1.34u
2025-11-18,CHI,CGY,100,B+,3.5%,0.008717158176801298,WIN,1.00u
2025-11-08,CGY,MIN,145,B+,6.3%,N/A,LOSS,-1.00u
2025-10-30,CGY,OTT,150,A+,13.6%,N/A,LOSS,-1.00u
2025-10-30,OTT,CGY,-167,B,3.3%,N/A,WIN,0.60u
2025-10-30,UNDER 6,CGY,-134,A+,15.2%,N/A,LOSS,-1.00u
2025-11-02,PHI,CGY,-135,A+,11.4%,N/A,LOSS,-1.00u
2025-11-10,CGY,STL,130,B+,5.2%,N/A,LOSS,-1.00u
2025-11-26,CGY,TBL,160,B+,3.0%,0.004671106347955874,LOSS,-1.00u
2025-11-23,CGY,VAN,120,A,3.9%,0.008151017006070824,WIN,1.35u
2025-11-21,CHI,BUF,155,A+,18.6%,0.029933329643728086,LOSS,-1.00u
2025-11-06,CHI,CGY,136,A,8.0%,N/A,WIN,1.36u
2025-11-08,CHI,DET,158,B,4.2%,N/A,WIN,1.58u
2025-11-01,CHI,EDM,240,A+,22.4%,N/A,LOSS,-1.00u
2025-12-04,CHI,LAK,165,A,4.6%,0.007032146673551602,WIN,2.31u
2025-11-05,CHI,VAN,146,A+,17.7%,N/A,WIN,1.46u
2025-12-02,CHI,VGK,235,A+,16.6%,0.017608781608784985,LOSS,-1.00u
2025-10-30,CHI,WPG,190,A+,44.2%,N/A,LOSS,-1.00u
2025-10-30,OVER 5.5,CHI,-130,A,7.4%,N/A,WIN,0.77u
2025-11-23,CHI,COL,196,A+,18.4%,0.02344445983277515,LOSS,-1.00u
2025-11-08,EDM,COL,105,B,3.6%,N/A,LOSS,-1.00u
2025-11-28,MIN,COL,158,A+,8.9%,0.014131396210107458,WIN,1.58u
2025-11-22,NSH,COL,196,A+,23.9%,0.030508411218861338,LOSS,-1.00u
2025-12-04,NYI,COL,165,A+,5.1%,0.007720872637682232,WIN,2.62u
2025-12-06,NYR,COL,146,A+,6.0%,0.010251484728923278,LOSS,-1.00u
2025-11-01,SJS,COL,198,A+,39.3%,N/A,WIN,1.98u
2025-11-09,VAN,COL,178,A+,14.9%,N/A,LOSS,-1.00u
2025-10-31,UNDER 6.5,COL,-125,A+,10.5%,N/A,WIN,0.80u
2025-11-22,CGY,DAL,135,A+,6.3%,0.011610677464357436,WIN,1.35u
2025-11-25,DAL,EDM,118,A+,9.7%,N/A,WIN,1.18u
2025-11-07,NSH,DAL,145,A+,12.6%,N/A,LOSS,-1.00u
2025-11-10,OTT,DAL,100,B+,5.7%,N/A,LOSS,-1.00u
2025-11-26,SEA,DAL,120,A+,13.4%,0.027942834810333463,LOSS,-1.00u
2025-10-30,DAL,TBL,125,A+,16.2%,N/A,LOSS,-1.00u
2025-10-30,OVER 5.5,DAL,-140,B,3.3%,N/A,LOSS,-1.00u
2025-11-20,DAL,VAN,-140,A+,5.5%,0.019118612922044035,WIN,0.71u
2025-11-29,BOS,DET,132,A+,8.3%,0.01580390146133517,WIN,1.32u
2025-12-04,DET,CBJ,104,A,3.6%,0.008735463234936007,LOSS,-1.25u
2025-10-30,DET,LAK,130,A+,31.2%,N/A,WIN,1.30u
2025-11-16,DET,NYR,120,A+,7.0%,0.014512171803428538,WIN,1.20u
2025-11-02,SJS,DET,158,A+,33.6%,N/A,LOSS,-1.00u
2025-11-04,DET,VGK,160,A,9.7%,N/A,LOSS,-1.00u
2025-11-17,BUF,EDM,135,A+,17.8%,0.03299920898349507,WIN,1.35u
2025-11-15,CAR,EDM,-118,A+,8.0%,0.023530248930264428,LOSS,-1.00u
2025-11-13,CBJ,EDM,-115,A+,6.6%,0.01904914844614551,WIN,0.87u
2025-11-13,EDM,CBJ,105,A,1.4%,0.0032608635146326387,LOSS,-1.00u
2025-11-04,EDM,DAL,105,A,8.1%,N/A,LOSS,-1.00u
2025-11-22,EDM,FLA,118,A,3.9%,0.008244859120179308,WIN,1.18u
2025-11-22,FLA,EDM,-122,A+,10.3%,0.03155449152592916,LOSS,-1.00u
2025-11-12,PHI,EDM,115,A+,10.9%,0.02376897403449876,LOSS,-1.00u
2025-11-29,SEA,EDM,133,A+,23.2%,0.04357515144712163,LOSS,-1.00u
2025-11-03,STL,EDM,130,B+,5.2%,N/A,WIN,1.30u
2025-11-20,EDM,TBL,140,A+,5.9%,0.010468733590173137,LOSS,-1.00u
2025-11-20,TBL,EDM,-127,A+,10.2%,0.032331792408520084,WIN,0.79u
2025-11-19,WSH,EDM,-118,A+,9.7%,0.028612504347903866,WIN,0.85u
2025-11-05,FLA,LAK,100,A,8.4%,N/A,WIN,0.96u
2025-11-24,NSH,FLA,122,A,4.5%,0.009122091507608461,LOSS,-1.00u
2025-11-07,SJS,FLA,205,A+,65.2%,N/A,WIN,2.05u
2025-11-09,VGK,FLA,-132,A+,10.9%,N/A,LOSS,-1.00u
2025-11-28,ANA,LAK,110,A,4.4%,0.00990117572599064,WIN,1.10u
2025-11-10,MTL,LAK,100,A+,19.1%,N/A,LOSS,-1.00u
2025-11-15,OTT,LAK,-110,A+,6.2%,0.01703404198682179,LOSS,-1.00u
2025-11-08,PIT,LAK,136,A+,39.7%,N/A,LOSS,-1.00u
2025-11-20,SJS,LAK,150,A+,26.3%,0.04383956444583024,WIN,1.50u
2025-11-13,LAK,TOR,102,A+,9.2%,0.022579823552023356,WIN,1.02u
2025-11-17,WSH,LAK,-115,B+,6.5%,N/A,WIN,0.87u
2025-11-05,MIN,CAR,165,A+,12.8%,N/A,LOSS,-1.00u
2025-11-26,CHI,MIN,115,A,4.2%,0.00905151167578671,LOSS,-1.00u
2025-12-02,MIN,EDM,125,A+,6.9%,0.01372961249779021,WIN,1.25u
2025-11-06,MIN,NYI,130,A+,14.0%,N/A,WIN,1.30u
2025-11-21,PIT,MIN,105,A+,10.0%,0.02376247164407494,LOSS,-1.00u
2025-11-17,MTL,CBJ,105,A+,8.0%,0.018987887337523903,LOSS,-1.00u
2025-11-29,MTL,COL,210,B+,3.3%,0.003973113515341742,LOSS,-1.00u
