i,date,sport,mkt,matchup,side,path,tier,odds,units,result,pnl,meanPct,top2Pct,meanClv,nHighPct,nElite,pctEdge,opposed,S1_meanPct60,S3_nHigh2,S5_top2_65,S7_A_only,S8_combo,S9_edge_top2,forWallets
136,2026-07-04,MLB,ML,2026-07-04_MLB_bal_cin,Baltimore Orioles,A,TOP+,109,2.5,W,2.73,74.3,83.9,3.97,4,4,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"7923c4:71%,ac9705:64%,a82a75:96%,70135d:65%"
137,2026-07-04,MLB,ML,2026-07-04_MLB_mil_ari,Milwaukee Brewers,A,TOP+,-149,5,L,-5,58,58,0.61,1,1,-10.7,Y,CUT,CUT,CUT,CUT,CUT,CUT,"ac9705:64%,1e8f33:52%"
138,2026-07-04,SOC,ML,2026-07-04_SOC_fra_par,France,A,SUPER,-525,6,W,1.14,50.5,63,-0.37,2,2,24.8,Y,CUT,KEEP,CUT,CUT,CUT,CUT,"4edc5b:60%,95eb4c:50%,c911a4:59%,a0cff6:47%,138d9b:21%,5b1e50:66%"
139,2026-07-04,MLB,SPREAD,2026-07-04_MLB_bal_cin_spread,Baltimore Orioles,A,TOP,-192,4,W,2.08,60.2,68.1,-1.67,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"f2f960:44%,4b912c:70%,5b1e50:66%"
140,2026-07-04,MLB,SPREAD,2026-07-04_MLB_nym_atl_spread,New York Mets,A,TOP,-143,4,L,-4,53.5,53.5,-4.02,1,1,,N,CUT,CUT,CUT,CUT,CUT,CUT,"f2f960:44%,8ec926:63%"
141,2026-07-04,MLB,TOTAL,2026-07-04_MLB_det_tex_total,Under 8.5,A,TOP+,-107,5,W,4.67,63.6,63.6,3.09,2,2,6.2,Y,KEEP,KEEP,CUT,KEEP,KEEP,CUT,"ad88a3:61%,5b1e50:66%"
142,2026-07-04,MLB,TOTAL,2026-07-04_MLB_min_nyy_total,Over 9.5,A,TOP,-110,4,W,3.64,66,66,1.78,1,1,,N,KEEP,CUT,KEEP,KEEP,KEEP,KEEP,5b1e50:66%
143,2026-07-04,MLB,TOTAL,2026-07-04_MLB_sfg_col_total,Over 12.5,A,TOP+,101,2.5,L,-2.5,65.4,72,1.98,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"1e8f33:52%,5b1e50:66%,70135d:65%,bc35e3:78%"
144,2026-07-04,MLB,ML,2026-07-04_MLB_mia_oak,Miami Marlins,B,RANK,-136,4,W,2.94,59.4,69.1,0.83,3,3,3.9,Y,CUT,KEEP,KEEP,KEEP,KEEP,KEEP,"cd2f63:56%,9a69c2:73%,f2f960:44%,1e8f33:52%,70135d:65%,eeabaf:65%"
145,2026-07-04,MLB,TOTAL,2026-07-04_MLB_pit_wsh_total,Under 10.5,B,RANK,-110,4,W,3.64,62.5,68.1,1.4,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"2f2a9e:51%,4b912c:70%,5b1e50:66%"
146,2026-07-04,SOC,ML,2026-07-04_SOC_mar_can,Morocco,C,SHARP,-120,3,W,2.5,54.8,80.6,4.14,7,8,-12.9,Y,CUT,KEEP,KEEP,KEEP,KEEP,CUT,"de3f67:61%,cd2f63:56%,c2aeea:59%,fea6f5:42%,1e8f33:52%,7da3d5:60%,388d4c:26%,ad4d8b:83%,0f9d74:69%,2f2a9e:51%,4edc5b:60%,5b1e50:66%,78e8f1:43%,7a4cdf:28%,b839b3:52%,bc35e3:78%,c911a4:59%,cad739:40%"
147,2026-07-04,MLB,TOTAL,2026-07-04_MLB_stl_chc_total,Over 8.5,C,SHARP,-110,3,L,-3,61.1,61.1,1.07,1,1,6.7,Y,KEEP,CUT,CUT,KEEP,CUT,CUT,"1e8f33:52%,4b912c:70%"
148,2026-07-05,MLB,ML,2026-07-05_MLB_bos_laa,Boston Red Sox,A,MINI-,-154,1,W,0.65,62.6,65.8,1.62,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"cd2f63:56%,5b1e50:66%,70135d:65%"
149,2026-07-05,MLB,ML,2026-07-05_MLB_min_nyy,New York Yankees,A,TOP,-131,4,L,-4,59.1,67.8,-1.83,2,2,,N,CUT,KEEP,KEEP,CUT,CUT,KEEP,"0f9d74:70%,f2f960:42%,5b1e50:66%"
150,2026-07-05,MLB,ML,2026-07-05_MLB_nym_atl,Atlanta Braves,A,TOP+,-105,5,L,-5,56.4,58.7,0.11,1,0,-7.7,Y,CUT,CUT,CUT,CUT,CUT,CUT,"7703d4:64%,2f2a9e:52%,1e8f33:53%"
151,2026-07-05,MLB,ML,2026-07-05_MLB_stl_chc,Chicago Cubs,A,TOP,-142,4,W,2.82,67.8,67.8,1.68,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"0f9d74:70%,5b1e50:66%"
152,2026-07-05,SOC,ML,2026-07-05_SOC_nor_bra,Brazil,A,CONFIRMED,-130,1,L,-1,45.2,60.8,0.11,1,3,-15.7,Y,CUT,CUT,CUT,CUT,CUT,CUT,"8bbab3:13%,de3f67:60%,7da3d5:62%,fea6f5:45%,2f2a9e:52%,7a4cdf:27%,8da2ca:33%,c911a4:60%,cd2f63:56%"
