i,date,sport,mkt,matchup,side,path,tier,odds,units,result,pnl,meanPct,top2Pct,meanClv,nHighPct,nElite,pctEdge,opposed,S1_meanPct60,S3_nHigh2,S5_top2_65,S7_A_only,S8_combo,S9_edge_top2,forWallets
191,2026-07-09,MLB,SPREAD,2026-07-09_MLB_atl_pit_spread,Atlanta Braves,C,SHARP,140,2.5,W,3.5,63.3,65.6,1.52,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"4b912c:65%,5b1e50:66%,70135d:65%,cd2f63:56%"
192,2026-07-10,MLB,ML,2026-07-10_MLB_cle_mia,Cleveland Guardians,A,TOP,107,2.5,W,2.68,79.1,83.5,5.22,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"bc35e3:77%,0f9d74:70%,a82a75:90%"
193,2026-07-10,MLB,ML,2026-07-10_MLB_oak_cws,Chicago White Sox,A,TOP+,-178,5,W,2.81,63.7,66.8,1.86,2,1,-1.8,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"4c64aa:58%,705ba1:60%,0cd77e:74%"
194,2026-07-10,MLB,ML,2026-07-10_MLB_phi_det,Detroit Tigers,A,SUPER,-118,6,W,5.08,67.7,71.2,3.97,5,5,14.6,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"ac9705:69%,0cd77e:74%,4b912c:65%,70135d:65%,9a69c2:65%"
195,2026-07-10,MLB,ML,2026-07-10_MLB_sea_tbr,Seattle Mariners,A,TOP+,108,2.5,L,-2.5,64.3,69.6,2.05,4,4,-0.6,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"12ad50:67%,c9bba3:53%,bc44b0:69%,ac9705:69%,0f9d74:70%,4c64aa:58%"
196,2026-07-10,MLB,SPREAD,2026-07-10_MLB_atl_stl_spread,St. Louis Cardinals,A,TOP,-123,4,W,3.25,59.1,59.1,-0.1,0,0,-7.8,Y,CUT,CUT,CUT,CUT,CUT,CUT,f2f960:59%
197,2026-07-10,MLB,SPREAD,2026-07-10_MLB_oak_cws_spread,Athletics,A,TOP+,-137,5,L,-5,66.3,66.3,3.72,1,1,,N,KEEP,CUT,KEEP,KEEP,KEEP,KEEP,"f2f960:59%,0cd77e:74%"
198,2026-07-10,MLB,TOTAL,2026-07-10_MLB_cle_mia_total,Under 7.5,A,TOP,-110,4,W,3.64,73.5,73.5,7.55,1,1,,N,KEEP,CUT,KEEP,KEEP,KEEP,KEEP,0cd77e:74%
199,2026-07-10,MLB,TOTAL,2026-07-10_MLB_nyy_wsh_total,Over 10.5,A,TOP+,-104,5,L,-5,66.6,67.2,2.27,3,3,1,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"ac9705:69%,4b912c:65%,70135d:65%"
200,2026-07-11,MLB,ML,2026-07-11_MLB_bos_nym,New York Mets,B,RANK,-144,4,L,-4,67.1,67.1,2.35,1,1,,N,KEEP,CUT,KEEP,KEEP,CUT,KEEP,"bc35e3:77%,4c64aa:57%"
201,2026-07-11,MLB,ML,2026-07-11_MLB_nyy_wsh,Washington Nationals,B,RANK,165,1.5,L,-1.5,74.6,79.3,5.21,3,3,,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"0f9d74:70%,7da3d5:65%,a82a75:89%"
202,2026-07-11,MLB,ML,2026-07-11_MLB_hou_tex,Texas Rangers,C,SHARP,-117,3,L,-3,76.9,76.9,6.74,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"7da3d5:65%,a82a75:89%"
203,2026-07-11,SOC,ML,2026-07-11_SOC_sui_arg,Argentina,C,SHARP-PRIME,-145,4,L,-4,30.8,33.9,-3.88,0,0,-15.2,Y,CUT,CUT,CUT,KEEP,CUT,CUT,"7a4cdf:25%,a190ea:43%,138d9b:24%"
204,2026-07-11,MLB,TOTAL,2026-07-11_MLB_mil_pit_total,Over 8.5,C,SHARP,-107,3,L,-3,57.7,57.7,2.02,1,1,-4.8,Y,CUT,CUT,CUT,KEEP,CUT,CUT,"7da3d5:65%,a10ff5:50%"
205,2026-07-12,MLB,ML,2026-07-12_MLB_atl_stl,St. Louis Cardinals,A,MINI,-128,3,L,-3,66.7,66.7,6.11,1,1,,N,KEEP,CUT,KEEP,KEEP,KEEP,KEEP,0cd77e:67%
206,2026-07-12,MLB,ML,2026-07-12_MLB_col_sfg,San Francisco Giants,A,MINI,-145,3,W,2.07,66.7,66.7,6.11,1,1,,N,KEEP,CUT,KEEP,KEEP,KEEP,KEEP,0cd77e:67%
207,2026-07-12,MLB,ML,2026-07-12_MLB_mil_pit,Milwaukee Brewers,A,TOP,106,2.5,L,-2.5,,,,0,0,,Y,CUT,CUT,CUT,CUT,CUT,CUT,
208,2026-07-12,MLB,TOTAL,2026-07-12_MLB_sea_tbr_total,Under 7.5,A,TOP,-110,4,L,-4,63.9,66.9,2.53,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"bc44b0:67%,7da3d5:64%,f2f960:58%,0cd77e:67%"
209,2026-07-12,MLB,SPREAD,2026-07-12_MLB_atl_stl_spread,St. Louis Cardinals,D,DISSENT,168,1,L,-1,66.7,66.7,6.11,1,1,4.2,Y,KEEP,CUT,KEEP,KEEP,CUT,KEEP,0cd77e:67%
