date,sport,mkt,matchup,side,agsTier,units,staked,outcome,top2Pct,meanPct,nFor,forWallets
2026-06-07,MLB,ML,"Tampa Bay Rays @ Miami Marlins",home,LOCK,1,1,WIN,63.35,63.35,2,"eeabaf:68%,4c64aa:59%"
2026-06-07,MLB,ML,"Washington Nationals @ Arizona Diamondbacks",home,LEAN,0.5,1,WIN,71.71,63.26,5,"913987:74%,0f9d74:70%"
2026-06-08,MLB,ML,"Boston Red Sox @ Tampa Bay Rays",away,PREMIUM,3,1,LOSS,66.44,55.58,7,"5b1e50:67%,bc3532:66%"
2026-06-08,MLB,ML,"Cincinnati Reds @ San Diego Padres",home,PREMIUM,3,1,WIN,71.17,67.14,3,"913987:76%,5b1e50:67%"
2026-06-08,MLB,ML,"Houston Astros @ Los Angeles Angels",away,PREMIUM,3,1,WIN,63.69,58.74,5,"1e8f33:65%,dcafd2:62%"
2026-06-08,MLB,ML,"Milwaukee Brewers @ Athletics",away,PREMIUM,3,1,WIN,66.44,60.71,6,"5b1e50:67%,bc3532:66%"
2026-06-08,MLB,ML,"New York Yankees @ Cleveland Guardians",home,LOCK,1,1,LOSS,68.53,60.02,6,"0f9d74:70%,5b1e50:67%"
2026-06-08,MLB,ML,"Washington Nationals @ San Francisco Giants",away,PREMIUM,1.5,1,WIN,72.52,70.57,3,"972768:77%,eeabaf:68%"
2026-06-08,NBA,ML,"Spurs @ Knicks",home,WEAK,0.25,1,LOSS,73.32,54.8,13,"2d2ca8:74%,4edc5b:73%"
2026-06-09,MLB,ML,"Arizona Diamondbacks @ Miami Marlins",away,WEAK,0.25,1,LOSS,77.07,67.91,8,"bc35e3:79%,913987:76%"
2026-06-09,MLB,ML,"Atlanta Braves @ Chicago White Sox",away,LEAN,0.5,1,LOSS,72.66,65.07,6,"2f2a9e:75%,0f9d74:70%"
2026-06-09,MLB,ML,"Boston Red Sox @ Tampa Bay Rays",away,LOCK,1,1,LOSS,65.42,55.22,7,"bc3532:66%,5b1e50:65%"
2026-06-09,MLB,ML,"Chicago Cubs @ Colorado Rockies",away,LOCK,1,1,LOSS,57.84,57.84,2,"4c64aa:59%,cd2f63:57%"
2026-06-09,MLB,ML,"Cincinnati Reds @ San Diego Padres",away,ELITE,5,1,WIN,79.26,68.76,5,"ad88a3:80%,bc35e3:79%"
2026-06-09,MLB,ML,"Houston Astros @ Los Angeles Angels",away,WEAK,0.25,1,LOSS,62.84,57.56,5,"1e8f33:63%,dcafd2:62%"
2026-06-09,MLB,ML,"Los Angeles Dodgers @ Pittsburgh Pirates",home,LOCK,1,1,LOSS,70.57,64.3,5,"2f2a9e:75%,bc3532:66%"
2026-06-09,MLB,ML,"Milwaukee Brewers @ Athletics",home,ELITE,5,1,WIN,64.54,58.56,7,"5b1e50:65%,8ec926:64%"
2026-06-09,MLB,ML,"Minnesota Twins @ Detroit Tigers",away,PREMIUM,2.5,1,LOSS,62.48,60.61,3,"bc3532:66%,4c64aa:59%"
2026-06-09,MLB,ML,"New York Yankees @ Cleveland Guardians",away,LEAN,0.5,1,WIN,68.33,62.3,7,"0f9d74:70%,6bd96a:66%"
2026-06-09,MLB,ML,"Philadelphia Phillies @ Toronto Blue Jays",home,ELITE,2.5,1,WIN,68.33,61.75,8,"0f9d74:70%,6bd96a:66%"
2026-06-09,MLB,ML,"Seattle Mariners @ Baltimore Orioles",home,LOCK,1,1,LOSS,69.83,62.75,6,"7923c4:73%,6bd96a:66%"
2026-06-09,MLB,ML,"Texas Rangers @ Kansas City Royals",away,LOCK,1,1,LOSS,62.33,60.08,4,"5b1e50:65%,c2aeea:60%"
2026-06-10,MLB,ML,"Atlanta Braves @ Chicago White Sox",away,PREMIUM,3,1,LOSS,65.78,61.29,4,"5b1e50:71%,1e8f33:61%"
2026-06-10,MLB,ML,"Boston Red Sox @ Tampa Bay Rays",away,LOCK,1,1,LOSS,76.08,63.17,17,"bc35e3:79%,7923c4:73%"
2026-06-10,MLB,ML,"Chicago Cubs @ Colorado Rockies",away,LOCK,1,1,LOSS,70.75,63.33,6,"0f9d74:71%,5b1e50:71%"
2026-06-10,MLB,ML,"Cincinnati Reds @ San Diego Padres",away,LEAN,0.5,1,LOSS,76.87,68.29,6,"ad88a3:81%,7923c4:73%"
2026-06-10,MLB,ML,"Houston Astros @ Los Angeles Angels",home,WEAK,0.25,1,WIN,68.52,64.1,3,"913987:76%,1e8f33:61%"
2026-06-10,MLB,ML,"Los Angeles Dodgers @ Pittsburgh Pirates",home,LOCK,1,1,WIN,71.81,66.74,4,"7923c4:73%,5b1e50:71%"
2026-06-10,MLB,ML,"Milwaukee Brewers @ Athletics",away,ELITE,5,1,LOSS,73.49,69.63,4,"913987:76%,0f9d74:71%"
2026-06-10,MLB,ML,"Minnesota Twins @ Detroit Tigers",away,LOCK,1,1,WIN,58.33,58.33,1,"4c64aa:58%"
2026-06-10,MLB,ML,"Seattle Mariners @ Baltimore Orioles",home,PREMIUM,2.5,1,WIN,72.04,62.83,7,"7923c4:73%,0f9d74:71%"
2026-06-10,MLB,ML,"St. Louis Cardinals @ New York Mets",home,LOCK,1,1,LOSS,58.33,58.33,1,"4c64aa:58%"
2026-06-10,MLB,ML,"Texas Rangers @ Kansas City Royals",away,LOCK,1,1,WIN,63.48,61.77,3,"bc3532:66%,1e8f33:61%"
2026-06-10,MLB,ML,"Washington Nationals @ San Francisco Giants",away,ELITE,5,1,LOSS,72.99,59.32,7,"972768:77%,eeabaf:69%"
2026-06-10,NBA,ML,"Spurs @ Knicks",away,WEAK,0.25,1,LOSS,73.16,61.99,13,"2d2ca8:75%,0f9d74:71%"
2026-06-11,MLB,ML,"Arizona Diamondbacks @ Miami Marlins",away,LOCK,1,1,LOSS,78.04,69.43,5,"ad88a3:82%,5b1e50:74%"
2026-06-11,MLB,ML,"Atlanta Braves @ Chicago White Sox",away,LEAN,0.5,1,PUSH,74.46,68.02,6,"12192c:75%,5b1e50:74%"
2026-06-11,MLB,ML,"Chicago Cubs @ Colorado Rockies",home,ELITE,5,1,LOSS,75.92,71.65,4,"972768:78%,5b1e50:74%"
2026-06-11,MLB,ML,"Los Angeles Dodgers @ Pittsburgh Pirates",away,LEAN,0.5,1,WIN,78.04,60.15,7,"ad88a3:82%,5b1e50:74%"
2026-06-11,MLB,ML,"Seattle Mariners @ Baltimore Orioles",away,LEAN,0.5,1,LOSS,75.93,63.75,5,"913987:77%,12192c:75%"
2026-06-11,MLB,ML,"St. Louis Cardinals @ New York Mets",home,ELITE,5,1,WIN,68.33,58.2,9,"0f9d74:71%,bc3532:66%"
2026-06-11,MLB,ML,"Texas Rangers @ Kansas City Royals",away,LOCK,1,1,WIN,66.22,56.36,5,"0f9d74:71%,1e8f33:62%"
2026-06-12,MLB,ML,"Atlanta Braves @ New York Mets",home,ELITE,5,1,WIN,69.57,62.08,4,"0f9d74:70%,eeabaf:69%"
2026-06-12,MLB,ML,"Chicago Cubs @ San Francisco Giants",home,PREMIUM,3,1,LOSS,50.46,50.46,2,"2f2a9e:58%,491f30:43%"
2026-06-12,MLB,ML,"Colorado Rockies @ Athletics",home,LEAN,0.5,1,WIN,62.19,60.36,3,"bc3532:66%,2f2a9e:58%"
2026-06-12,MLB,ML,"Detroit Tigers @ Cleveland Guardians",away,WEAK,0.25,1,LOSS,66.89,66.89,2,"5b1e50:76%,4c64aa:58%"
2026-06-12,MLB,ML,"Houston Astros @ Kansas City Royals",away,LOCK,1,1,WIN,69.46,65.66,3,"5b1e50:76%,1e8f33:63%"
2026-06-12,MLB,ML,"Los Angeles Dodgers @ Chicago White Sox",home,ELITE,2.5,1,WIN,78.81,67.43,6,"bc35e3:80%,972768:78%"
2026-06-12,MLB,ML,"Miami Marlins @ Pittsburgh Pirates",home,PREMIUM,3,1,LOSS,61.89,59.33,5,"710c2e:64%,c2aeea:60%"
2026-06-12,MLB,ML,"San Diego Padres @ Baltimore Orioles",away,WEAK,0.25,1,LOSS,69.57,60.67,3,"0f9d74:70%,eeabaf:69%"
2026-06-12,MLB,ML,"Seattle Mariners @ Washington Nationals",away,LOCK,1,1,WIN,64.97,61.53,4,"bc3532:66%,710c2e:64%"
2026-06-12,MLB,ML,"St. Louis Cardinals @ Minnesota Twins",home,LEAN,0.5,1,WIN,73.02,62.88,5,"5b1e50:76%,0f9d74:70%"
2026-06-13,MLB,ML,"Arizona Diamondbacks @ Cincinnati Reds",away,ELITE,5,1,LOSS,65.81,57.93,5,"0f9d74:69%,1e8f33:62%"
2026-06-13,MLB,ML,"Atlanta Braves @ New York Mets",away,PREMIUM,3,1,WIN,71.51,64.34,6,"5b1e50:74%,0f9d74:69%"
2026-06-13,MLB,ML,"Chicago Cubs @ San Francisco Giants",away,WEAK,0.25,1,WIN,71.51,66.85,5,"5b1e50:74%,0f9d74:69%"
2026-06-13,MLB,ML,"Colorado Rockies @ Athletics",away,PREMIUM,2.5,1,LOSS,66.35,66.35,2,"eeabaf:69%,779ef0:63%"
2026-06-13,MLB,ML,"Detroit Tigers @ Cleveland Guardians",home,ELITE,2.5,1,WIN,51.19,51.19,2,"1e8f33:62%,491f30:40%"
2026-06-13,MLB,ML,"Miami Marlins @ Pittsburgh Pirates",away,PREMIUM,2.5,1,LOSS,61.19,59.31,3,"1e8f33:62%,c2aeea:60%"
2026-06-13,MLB,ML,"Philadelphia Phillies @ Milwaukee Brewers",home,PREMIUM,3,1,LOSS,67.99,58.66,3,"bc44b0:69%,e70853:67%"
2026-06-13,MLB,ML,"Seattle Mariners @ Washington Nationals",home,ELITE,5,1,WIN,65.81,50.46,5,"0f9d74:69%,1e8f33:62%"
2026-06-13,MLB,ML,"Texas Rangers @ Boston Red Sox",home,LOCK,1,1,WIN,62.39,62.39,1,"1e8f33:62%"
2026-06-13,NBA,ML,"Knicks @ Spurs",home,WEAK,0.25,1,LOSS,79.72,63.95,18,"f9e3d0:80%,bc35e3:79%"
2026-06-14,MLB,ML,"Atlanta Braves @ New York Mets",away,LOCK,1,1,LOSS,72.16,63.58,5,"5b1e50:75%,0f9d74:69%"
2026-06-14,MLB,ML,"Chicago Cubs @ San Francisco Giants",home,WEAK,0.25,1,WIN,77.32,70.2,4,"bc35e3:80%,5b1e50:75%"
2026-06-14,MLB,ML,"Colorado Rockies @ Athletics",home,ELITE,5,1,LOSS,73.33,63.46,6,"5b1e50:75%,40d814:72%"
2026-06-14,MLB,ML,"Houston Astros @ Kansas City Royals",away,PREMIUM,2.5,1,LOSS,57.36,57.36,1,"1e8f33:57%"
2026-06-14,MLB,ML,"New York Yankees @ Toronto Blue Jays",away,LOCK,1,1,WIN,70.97,64.46,4,"5b1e50:75%,bc3532:67%"
