date,sport,mkt,matchup,side,agsTier,units,staked,tracked,outcome,top2Pct,nFor
2026-06-07,MLB,ML,"Kansas City Royals @ Minnesota Twins",away,WEAK,0.25,1,0,WIN,70.63,3
2026-06-07,MLB,ML,"Los Angeles Angels @ Los Angeles Dodgers",home,WEAK,0.25,1,0,LOSS,63.27,4
2026-06-07,MLB,ML,"Milwaukee Brewers @ Colorado Rockies",home,LEAN,0.5,1,0,LOSS,63.36,2
2026-06-07,MLB,ML,"New York Mets @ San Diego Padres",away,FADE,0,0,1,WIN,66.02,5
2026-06-07,MLB,ML,"Athletics @ Houston Astros",home,LOCK,1,1,0,LOSS,58.97,1
2026-06-07,MLB,ML,"Pittsburgh Pirates @ Atlanta Braves",home,FADE,0,0,1,WIN,74.37,8
2026-06-07,MLB,ML,"Seattle Mariners @ Detroit Tigers",home,LEAN,0.5,1,0,WIN,67.89,3
2026-06-07,MLB,ML,"San Francisco Giants @ Chicago Cubs",away,WEAK,0.25,1,0,WIN,77.43,2
2026-06-07,MLB,ML,"Tampa Bay Rays @ Miami Marlins",home,LOCK,1,1,0,WIN,63.35,2
2026-06-07,MLB,ML,"Washington Nationals @ Arizona Diamondbacks",home,LEAN,0.5,1,0,WIN,71.71,5
2026-06-08,MLB,ML,"Boston Red Sox @ Tampa Bay Rays",away,PREMIUM,3,1,0,LOSS,66.44,7
2026-06-08,MLB,ML,"Cincinnati Reds @ San Diego Padres",home,PREMIUM,3,1,0,WIN,71.17,3
2026-06-08,MLB,ML,"Houston Astros @ Los Angeles Angels",away,PREMIUM,3,1,0,WIN,63.69,5
2026-06-08,MLB,ML,"Milwaukee Brewers @ Athletics",away,PREMIUM,3,1,0,WIN,66.44,6
2026-06-08,MLB,ML,"New York Yankees @ Cleveland Guardians",home,LOCK,1,1,0,LOSS,68.53,6
2026-06-08,MLB,ML,"Philadelphia Phillies @ Toronto Blue Jays",away,FADE,0,0,1,WIN,65.87,6
2026-06-08,MLB,ML,"Washington Nationals @ San Francisco Giants",away,PREMIUM,1.5,1,0,WIN,72.52,3
2026-06-08,NBA,ML,"Spurs @ Knicks",home,WEAK,0.25,1,0,LOSS,73.32,13
2026-06-09,MLB,ML,"Arizona Diamondbacks @ Miami Marlins",away,WEAK,0.25,1,0,LOSS,77.07,8
2026-06-09,MLB,ML,"Atlanta Braves @ Chicago White Sox",away,LEAN,0.5,1,0,LOSS,72.66,6
2026-06-09,MLB,ML,"Boston Red Sox @ Tampa Bay Rays",away,LOCK,1,1,0,LOSS,65.42,7
2026-06-09,MLB,ML,"Chicago Cubs @ Colorado Rockies",away,LOCK,1,1,0,LOSS,57.84,2
2026-06-09,MLB,ML,"Cincinnati Reds @ San Diego Padres",away,ELITE,5,1,0,WIN,79.26,5
2026-06-09,MLB,ML,"Houston Astros @ Los Angeles Angels",away,WEAK,0.25,1,0,LOSS,62.84,5
2026-06-09,MLB,ML,"Los Angeles Dodgers @ Pittsburgh Pirates",home,LOCK,1,1,0,LOSS,70.57,5
2026-06-09,MLB,ML,"Milwaukee Brewers @ Athletics",home,ELITE,5,1,0,WIN,64.54,7
