normalized_name,oddstrader_name,haslametrics_name,dratings_name,conference,ncaa_name,notes,espn_name,barttorvik_name,odds_api_name,cbbd_name
Southern Illinois,Southern Illinois,S. Illinois,Southern Illinois Salukis,TBD,Southern Ill.,✓,Southern Illinois,Southern Illinois,Southern Illinois Salukis,Southern Illinois
Southern Indiana,Southern Indiana,S. Indiana,Southern Indiana Screaming Eagles,TBD,Southern Indiana,✓,Southern Indiana,Southern Indiana,,Southern Indiana
St. Francis,St. Francis (PA),St. Francis (PA),St. Francis Red Flash,TBD,Saint Francis,✓,St. Francis,Saint Francis,St. Francis (PA) Red Flash,St. Francis (PA)
St. John's,St. John's,St. John's,St. John's Red Storm,TBD,St. John's (NY),✓,St. John's,St. John's,St. John's Red Storm,St. John's
Stonehill,Stonehill,Stonehill,Stonehill Skyhawks,TBD,Stonehill,✓,Stonehill,Stonehill,Stonehill Skyhawks,Stonehill
Syracuse,Syracuse,Syracuse,Syracuse Orange,TBD,Syracuse,✓,Syracuse,Syracuse,Syracuse Orange,Syracuse
Tennessee,Tennessee,Tennessee,Tennessee Volunteers,TBD,Tennessee,✓,Tennessee,Tennessee,Tennessee Volunteers,Tennessee
Tennessee Tech,Tennessee Tech,Tenn. Tech,Tennessee Tech Golden Eagles,TBD,Tennessee Tech,✓,Tennessee Tech,Tennessee Tech,Tennessee Tech Golden Eagles,Tennessee Tech
Texas,Texas,Texas,Texas Longhorns,TBD,Texas,✓,Texas,Texas,Texas Longhorns,Texas
Texas Tech,Texas Tech,Texas Tech,Texas Tech Red Raiders,TBD,Texas Tech,✓,Texas Tech,Texas Tech,Texas Tech Red Raiders,Texas Tech
Toledo,Toledo,Toledo,Toledo Rockets,TBD,Toledo,✓,Toledo,Toledo,Toledo Rockets,Toledo
Troy,Troy,Troy,Troy Trojans,TBD,Troy,✓,Troy,Troy,Troy Trojans,Troy
USC,USC,USC,USC Trojans,TBD,Southern California,✓,USC,USC,USC Trojans,USC
Valparaiso,Valparaiso,Valparaiso,Valparaiso Beacons,TBD,Valparaiso,✓,Valparaiso,Valparaiso,Valparaiso Beacons,Valparaiso
Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt Commodores,TBD,Vanderbilt,✓,Vanderbilt,Vanderbilt,Vanderbilt Commodores,Vanderbilt
Virginia Commonwealth,Virginia Commonwealth,VCU,VCU Rams,TBD,VCU,✓,Virginia Commonwealth,VCU,,VCU
Virginia Military,Virginia Military,VMI,VMI Keydets,TBD,VMI,✓,Virginia Military,VMI,VMI Keydets,VMI
Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech Hokies,TBD,Virginia Tech,✓,Virginia Tech,Virginia Tech,Virginia Tech Hokies,Virginia Tech
Wagner,Wagner,Wagner,Wagner Seahawks,TBD,Wagner,✓,Wagner,Wagner,Wagner Seahawks,Wagner
Washington State,Washington State,Washington St.,Washington State Cougars,TBD,Washington St.,✓,Washington State,Washington St.,Washington St Cougars,Washington State
