normalized_name,oddstrader_name,haslametrics_name,dratings_name,conference,ncaa_name,notes,espn_name,barttorvik_name,odds_api_name,cbbd_name
Central Connecticut State,Central Connecticut State,Cent. Conn. St.,Central Connecticut Blue Devils,TBD,Central Conn. St.,NEW,Central Conn. St.,Central Connecticut,Central Connecticut St Blue Devils,Central Connecticut
North Carolina State,North Carolina State,NC State,NC State Wolfpack,TBD,NC State,NEW,NC State,N.C. State,NC State Wolfpack,NC State
Louisiana-Monroe,Louisiana-Monroe,UL Monroe,Louisiana Monroe Warhawks,TBD,ULM,NEW,LA Monroe,Louisiana Monroe,UL Monroe Warhawks,Louisiana
St. Thomas (MN),St. Thomas (MN),St. Thomas,St. Thomas Tommies,TBD,St. Thomas (MN),NEW,St. Thomas,St. Thomas,St. Thomas (MN) Tommies,St. Thomas-Minnesota
Holy Cross,Holy Cross,Holy Cross,Holy Cross Crusaders,TBD,Holy Cross,NEW,Holy Cross,Holy Cross,Holy Cross Crusaders,Holy Cross
Oakland,Oakland,Oakland,Oakland Golden Grizzlies,TBD,Oakland,NEW,Oakland,Oakland,,Oakland
Southern Miss,Southern Miss,Southern Miss,Southern Miss Golden Eagles,TBD,Southern Miss,NEW,Southern Miss,Southern Miss,Southern Miss Golden Eagles,Southern Miss
Radford,Radford,Radford,Radford Highlanders,TBD,Radford,NEW,Radford,Radford,Radford Highlanders,Radford
Drexel,Drexel,Drexel,Drexel Dragons,TBD,Drexel,NEW,Drexel,Drexel,Drexel Dragons,Drexel
Austin Peay,Austin Peay,Austin Peay,Austin Peay Governors,TBD,Austin Peay,NEW,Austin Peay,Austin Peay,,Austin Peay
Kent State,Kent State,Kent State,Kent State Golden Flashes,TBD,Kent State,NEW,Kent State,Kent St.,Kent State Golden Flashes,Kent State
Hampton,Hampton,Hampton,Hampton Pirates,TBD,Hampton,NEW,Hampton,Hampton,,Hampton
Lamar,Lamar,Lamar,Lamar Cardinals,TBD,Lamar University,NEW,Lamar,Lamar,,Lamar
Gardner-Webb,Gardner-Webb,Gardner-Webb,Gardner Webb Runnin' Bulldogs,TBD,Gardner-Webb,NEW,Gardner-Webb,Gardner-Webb,Gardner-Webb Bulldogs,Gardner-Webb
Louisville,Louisville,Louisville,Louisville Cardinals,TBD,Louisville,NEW,Louisville,Louisville,,Louisville
Mississippi Valley State,Mississippi Valley State,Miss. Valley St.,MS Valley State Delta Devils,TBD,Mississippi Val.,NEW,Mississippi Valley St.,Mississippi Valley St.,Miss Valley St Delta Devils,Mississippi Valley State
Nebraska-Omaha,Nebraska-Omaha,Omaha,Omaha Mavericks,TBD,Omaha,NEW,Omaha,Nebraska Omaha,Omaha Mavericks,Omaha
Evansville,Evansville,Evansville,Evansville Purple Aces,TBD,Evansville,NEW,Evansville,Evansville,Evansville Purple Aces,Evansville
BYU,BYU,BYU,Brigham Young Cougars,TBD,BYU,NEW,BYU,BYU,,BYU
UCLA,UCLA,UCLA,UCLA Bruins,TBD,UCLA,NEW,UCLA,UCLA,,UCLA
Missouri State,Missouri State,Missouri State,Missouri State Bears,TBD,Missouri St.,NEW,Missouri State,Missouri St.,Missouri St Bears,Missouri State
Texas Southern,Texas Southern,Texas Southern,Texas Southern Tigers,TBD,Texas Southern,NEW,Texas Southern,Texas Southern,Texas Southern Tigers,Texas Southern
UC Davis,UC Davis,UC Davis,UC Davis Aggies,TBD,UC Davis,NEW,UC Davis,UC Davis,UC Davis Aggies,UC Davis
New Haven,New Haven,New Haven,New Haven Chargers,TBD,New Haven,NEW,New Haven,New Haven,New Haven Chargers,New Haven
