i,date,sport,mkt,matchup,side,path,hcTier,agsTier,odds,units,outcome,profit,meanPct,top2Pct,meanClv,nHighPct,nElite,pctEdge,opposed,S1,S5,S8,S8b,S9,forWallets
317,2026-06-30,MLB,total,2026-06-30_MLB_sdp_chc_total,Over 11.5,A,TOP+,LOCK,-112,5,WIN,4.46,62.3,66.2,0.61,2,1,-8.4,Y,KEEP,KEEP,KEEP,KEEP,CUT,"a10ff5:55%,4b912c:68%,5b1e50:64%"
318,2026-06-30,MLB,total,2026-06-30_MLB_stl_atl_total,Over 9.5,A,TOP+,LEAN,-110,5,LOSS,-5,52.8,64.1,-1.27,2,0,-11,Y,CUT,CUT,CUT,CUT,CUT,"ac9705:30%,b51a56:60%,4b912c:68%"
319,2026-06-30,MLB,total,2026-06-30_MLB_tex_cle_total,Under 7.5,A,MINI,LOCK,103,2.5,WIN,2.58,60.2,66.2,0.19,2,1,-10.1,Y,KEEP,KEEP,KEEP,KEEP,CUT,"c668b3:58%,1e8f33:51%,4b912c:68%,5b1e50:64%"
320,2026-06-30,MLB,total,2026-06-30_MLB_wsh_bos_total,Under 9.5,B,RANK,LOCK,100,4,PUSH,0,60.6,60.6,1.78,1,1,-7.3,Y,KEEP,CUT,CUT,CUT,CUT,"eeabaf:67%,a10ff5:55%"
321,2026-07-01,MLB,ml,2026-07-01_MLB_cin_mil,Milwaukee Brewers,A,SUPER,PREMIUM,-162,6,WIN,3.7,68.7,88.7,2.95,6,6,0.8,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"9a69c2:70%,a82a75:100%,ac9705:44%,4b912c:70%,5b1e50:65%,70135d:65%,bc35e3:77%,cd2f63:56%"
322,2026-07-01,MLB,ml,2026-07-01_MLB_det_nyy,New York Yankees,A,TOP+,ELITE,-134,5,LOSS,-5,56.6,66.5,0.06,2,2,,N,CUT,KEEP,CUT,CUT,KEEP,"2f2a9e:49%,ac9705:44%,0f9d74:68%,5b1e50:65%"
323,2026-07-01,MLB,ml,2026-07-01_MLB_min_hou,Minnesota Twins,B,RANK,LOCK,122,4,WIN,4.88,59,67.9,0.51,2,2,,N,CUT,KEEP,KEEP,KEEP,KEEP,"ac9705:44%,4b912c:70%,5b1e50:65%,cd2f63:56%"
324,2026-07-01,MLB,ml,2026-07-01_MLB_pit_phi,Pittsburgh Pirates,C,SHARP,WEAK,124,2.5,LOSS,-2.5,69,73.9,2.82,6,6,18.5,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"bc35e3:77%,9a69c2:70%,0f9d74:68%,8ec926:63%,4b912c:70%,5b1e50:65%"
325,2026-07-01,MLB,ml,2026-07-01_MLB_tex_cle,Texas Rangers,C,SHARP,WEAK,106,2.5,LOSS,-2.5,60.4,70.4,1.77,4,4,-26.1,Y,KEEP,KEEP,KEEP,KEEP,CUT,"9a69c2:70%,1e8f33:51%,cd2f63:56%,ac9705:44%,4b912c:70%,5b1e50:65%,70135d:65%"
326,2026-07-01,SOC,ml,2026-07-01_SOC_sen_bel,Draw,C,SHARP,LEAN,230,1,WIN,2.3,23.1,23.1,-2.99,0,0,-34.1,Y,CUT,CUT,CUT,CUT,CUT,fea6f5:23%
327,2026-07-01,MLB,spread,2026-07-01_MLB_lad_oak_spread,Los Angeles Dodgers,C,SHARP,WEAK,-107,3,LOSS,-3,58.4,65.4,0.87,2,2,-26.8,Y,CUT,KEEP,KEEP,KEEP,CUT,"ac9705:44%,5b1e50:65%,70135d:65%"
328,2026-07-01,MLB,spread,2026-07-01_MLB_pit_phi_spread,Pittsburgh Pirates,A,TOP+,ELITE,-180,5,LOSS,-5,67.9,67.9,1.79,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"4b912c:70%,5b1e50:65%"
329,2026-07-01,MLB,total,2026-07-01_MLB_cin_mil_total,Under 8.5,A,SUPER,ELITE,106,2.5,WIN,2.65,54.9,54.9,-0.12,1,1,0.7,Y,CUT,CUT,CUT,CUT,CUT,"ac9705:44%,5b1e50:65%"
330,2026-07-01,MLB,total,2026-07-01_MLB_lad_oak_total,Under 9.5,A,MINI-,PREMIUM,-110,1,WIN,0.91,65.3,65.3,1.47,1,1,12.8,Y,KEEP,KEEP,KEEP,KEEP,KEEP,5b1e50:65%
331,2026-07-01,MLB,total,2026-07-01_MLB_sdp_chc_total,Under 11.5,A,TOP,ELITE,-105,4,LOSS,-4,65.3,65.3,1.47,1,1,,N,KEEP,KEEP,KEEP,KEEP,KEEP,5b1e50:65%
332,2026-07-01,MLB,total,2026-07-01_MLB_wsh_bos_total,Under 9.5,B,RANK,PREMIUM,-103,4,LOSS,-4,56.8,60.7,0.82,1,1,,N,CUT,CUT,CUT,CUT,CUT,"cd2f63:56%,2f2a9e:49%,70135d:65%"
333,2026-07-02,MLB,ml,2026-07-02_MLB_cin_mil,Milwaukee Brewers,C,SHARP,WEAK,-190,3,LOSS,-3,52.3,52.3,1.85,1,1,-11.5,Y,CUT,CUT,CUT,CUT,CUT,"eeabaf:66%,ab39ae:39%"
334,2026-07-02,MLB,ml,2026-07-02_MLB_det_tex,Detroit Tigers,A,MINI-,LEAN,-108,1,LOSS,-1,65.7,65.7,2.95,1,1,-2.7,Y,KEEP,KEEP,KEEP,KEEP,CUT,eeabaf:66%
335,2026-07-02,MLB,ml,2026-07-02_MLB_mia_col,Miami Marlins,B,RANK,ELITE,-135,4,LOSS,-4,54.6,57,0.08,1,1,,Y,CUT,CUT,CUT,CUT,CUT,"2f2a9e:50%,1e8f33:52%,8ec926:63%"
336,2026-07-02,MLB,ml,2026-07-02_MLB_pit_phi,Pittsburgh Pirates,A,TOP,ELITE,115,2.5,WIN,2.88,71.1,71.1,2.94,1,1,,N,KEEP,KEEP,KEEP,KEEP,KEEP,4b912c:71%
337,2026-07-02,MLB,ml,2026-07-02_MLB_tbr_kcr,Tampa Bay Rays,A,TOP+,LOCK,-120,5,WIN,4.17,57.8,60.9,0.51,1,1,-8.9,Y,CUT,CUT,CUT,CUT,CUT,"cd2f63:56%,1e8f33:52%,5b1e50:66%"
338,2026-07-02,SOC,ml,2026-07-02_SOC_alg_sui,Switzerland,C,SHARP,WEAK,100,2.5,WIN,2.5,63.8,75,3.17,3,4,11.8,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"9a69c2:72%,cd2f63:56%,0f9d74:68%,b839b3:50%,bc35e3:78%,c911a4:58%"
339,2026-07-02,MLB,spread,2026-07-02_MLB_cin_mil_spread,Cincinnati Reds,A,TOP,LOCK,-140,4,WIN,2.86,65.8,65.8,1.77,1,1,15.8,Y,KEEP,KEEP,KEEP,KEEP,KEEP,5b1e50:66%
340,2026-07-02,MLB,total,2026-07-02_MLB_cin_mil_total,Under 6.5,B,RANK,PREMIUM,-103,4,LOSS,-4,76.1,85.9,5.99,4,4,24.2,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"779ef0:67%,eeabaf:66%,cdb33b:76%,a82a75:95%"
341,2026-07-02,MLB,total,2026-07-02_MLB_det_tex_total,Under 7.5,A,SUPER,ELITE,-116,6,LOSS,-6,62.3,71.8,2.3,4,4,-33.1,Y,KEEP,KEEP,KEEP,KEEP,CUT,"2f2a9e:50%,9a69c2:72%,ac9705:56%,cd2f63:56%,4b912c:71%,5b1e50:66%,70135d:65%"
342,2026-07-02,MLB,total,2026-07-02_MLB_laa_sea_total,Under 7.5,C,SHARP,WEAK,108,2.5,WIN,2.7,59.2,65.6,1.43,2,2,-12.6,Y,CUT,KEEP,KEEP,KEEP,CUT,"2f2a9e:50%,cd2f63:56%,70135d:65%,eeabaf:66%"
