Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
2097762905940779371,"Wed, Sep 9, 2026",@lilv018 Laying.,https://x.com/Real_NHL_Savant/status/2097762905940779371,83,0,3,0,0,0,2,0,0,1,0,0,0
2097762279685001619,"Wed, Sep 9, 2026",@lilv018 I stick to the unit sizes. Just comfortable with that for the math these days. Totally understandable if people want to pass on favorite like this.,https://x.com/Real_NHL_Savant/status/2097762279685001619,93,0,3,1,0,0,1,0,0,2,0,0,0
2097761104067744219,"Wed, Sep 9, 2026",At the airport. But notifications are clutch. Let’s go Jays!! https://t.co/mrFECQ5zkH,https://x.com/Real_NHL_Savant/status/2097761104067744219,1877,14,272,0,0,0,4,0,31,29,0,0,0
2097734046055031170,"Wed, Sep 9, 2026",@Alex30522688355 It is interesting because I’d figure season opener is going to be a little slow starting.,https://x.com/Real_NHL_Savant/status/2097734046055031170,140,0,1,0,0,0,0,0,1,0,0,0,0
2097732121880379732,"Wed, Sep 9, 2026",@PoppaVic_ May be slow volume to start! But pumped to have the NFL back.,https://x.com/Real_NHL_Savant/status/2097732121880379732,174,1,3,0,0,0,0,0,2,0,0,0,0
2097730820090023987,"Wed, Sep 9, 2026",This sharp has $79.5k on over 44.5 tonight! The number one most bet total is on the under! He is up 207k over the last 30 days. NFL is back!!! Show me the money! Which way are you leaning? https://t.co/nOxhRlO593,https://x.com/Real_NHL_Savant/status/2097730820090023987,4983,15,305,0,2,1,2,0,53,34,0,0,0
2097729910391570943,"Wed, Sep 9, 2026",@Jeremy_Noel_V2 Damn. Well let’s get back on track today.,https://x.com/Real_NHL_Savant/status/2097729910391570943,34,1,1,0,0,0,0,0,0,0,0,0,0
2097709412203073684,"Wed, Sep 9, 2026",@neverpretendin Right back at it.,https://x.com/Real_NHL_Savant/status/2097709412203073684,55,1,1,0,0,0,0,0,0,0,0,0,0
2097681603606753365,"Wed, Sep 9, 2026",@Jeremy_Noel_V2 Important that even on the down days. It’s not that bad.,https://x.com/Real_NHL_Savant/status/2097681603606753365,63,0,2,0,0,0,1,0,1,0,0,0,0
2097676823064961357,"Wed, Sep 9, 2026",@PoppaVic_ Back to green today.,https://x.com/Real_NHL_Savant/status/2097676823064961357,63,1,1,0,0,0,0,0,0,0,0,0,0
2097675826934526012,"Wed, Sep 9, 2026",@JamKam77 @DJohnson3636 That play looked really strong. Nice call.,https://x.com/Real_NHL_Savant/status/2097675826934526012,189,0,0,0,0,0,0,0,0,0,0,0,0
2097675302491271367,"Wed, Sep 9, 2026",@DJohnson3636 lol well hot damn! What a lucky play,https://x.com/Real_NHL_Savant/status/2097675302491271367,156,0,0,0,0,0,0,0,0,0,0,0,0
2097675202373230634,"Wed, Sep 9, 2026",@DJohnson3636 Somebody skipped the tigers play too.,https://x.com/Real_NHL_Savant/status/2097675202373230634,150,0,0,0,0,0,0,0,0,0,0,0,0
2097673849504735586,"Wed, Sep 9, 2026",We have been on absolute fire this month.. but our 10 day green streak comes to an end. 4-5 down 1.6 units. But we will be right back at it today! We are up nearly 100 units in the last 30 days. New streak starts today! https://t.co/BlEFzGWV6E,https://x.com/Real_NHL_Savant/status/2097673849504735586,4049,21,90,1,0,0,5,0,23,21,0,0,0
2097643267462721581,"Wed, Sep 9, 2026",@dominic_grauso Man fell asleep before this one finished. Honestly surprised it wasn’t a 5u play. Either way great call on that tigers fade.,https://x.com/Real_NHL_Savant/status/2097643267462721581,168,1,7,0,0,0,1,0,2,3,0,0,0
2097564183583760552,"Wed, Sep 9, 2026",@haveaniceday054 Can’t stand it. Such a killer to see.,https://x.com/Real_NHL_Savant/status/2097564183583760552,37,0,0,1,0,0,0,0,0,0,0,0,0
2097462055972340197,"Tue, Sep 8, 2026",3 more that I am really liking the setup for.. https://t.co/EEHNUJbqit,https://x.com/Real_NHL_Savant/status/2097462055972340197,302,2,66,0,0,0,0,0,2,0,1,0,0
2097459498881253815,"Tue, Sep 8, 2026",@dominic_grauso Tigers are such a frustrating team. Easy one to pass on with what looks good to lock soon.,https://x.com/Real_NHL_Savant/status/2097459498881253815,111,1,2,0,0,0,0,0,1,0,0,0,0
2097455216761110780,"Tue, Sep 8, 2026",@DJohnson3636 Looks like a big slate is loading!,https://x.com/Real_NHL_Savant/status/2097455216761110780,82,0,0,0,0,0,0,0,0,0,0,0,0
2097453582035423652,"Tue, Sep 8, 2026",In the last 7 days we are 30-8 in the MLB. That’s +67 units… You can keep following the crowds. Or you can follow our sharp data and prediction engine. Here are three early plays that will meet our criteria. Let’s have a night! https://t.co/dpXEIvbMo9,https://x.com/Real_NHL_Savant/status/2097453582035423652,4842,21,293,1,0,0,4,1,24,30,0,0,0
2097425462930677852,"Tue, Sep 8, 2026",@slimeaction @TheBetDesk Let me know if you have any questions. Happy to help orientate you to what we do.,https://x.com/Real_NHL_Savant/status/2097425462930677852,52,1,6,0,0,0,1,0,3,1,0,0,0
2097360263028650432,"Tue, Sep 8, 2026",I wanted to share Camden’s story. He’s been betting for 4+ years and has tried all the strategies and tools. Like most the results just don’t match the marketing. Or the time investment is too much to sustain. He found sharpflow two weeks ago. We talked a lot about how it,https://x.com/Real_NHL_Savant/status/2097360263028650432,1942,20,71,0,1,1,0,0,34,16,0,0,0
2097286121197625818,"Tue, Sep 8, 2026",@OneNineSlug Great question. Locked picks page is where you want to be. It’s everything with the official math. Live positions has the same data but may look a little different. It’s designed to show things that are not flagged or locked as well.,https://x.com/Real_NHL_Savant/status/2097286121197625818,49,1,3,0,0,0,1,0,0,1,0,0,0
